Date,Open,High,Low,Close,Adj Close,Volume
2015-12-01,2.230000,2.387000,1.684000,2.350000,2.350000,663474812
2016-01-01,2.289000,2.495000,2.044000,2.212000,2.212000,918031520
2016-02-01,2.213000,2.228000,1.682000,1.711000,1.711000,2724841
2016-03-01,1.707000,2.028000,1.611000,1.959000,1.959000,2950533
2016-04-01,1.963000,2.195000,1.872000,2.178000,2.178000,3207132
2016-05-01,2.132000,2.303000,1.909000,2.288000,2.288000,2770580
2016-06-01,2.287000,2.974000,2.277000,2.924000,2.924000,3281312
2016-07-01,2.931000,2.998000,2.625000,2.876000,2.876000,2468475
2016-08-01,2.840000,2.943000,2.523000,2.887000,2.887000,3073936
2016-09-01,2.879000,3.098000,2.665000,2.906000,2.906000,2818095
2016-10-01,2.905000,3.366000,2.627000,3.026000,3.026000,3510000
2016-11-01,2.979000,3.367000,2.546000,3.352000,3.352000,3146762
2016-12-01,3.348000,3.994000,3.242000,3.724000,3.724000,3420069
2017-01-01,3.568000,3.568000,3.098000,3.117000,3.117000,3026787
2017-02-01,3.134000,3.228000,2.522000,2.774000,2.774000,2770669
2017-03-01,2.770000,3.242000,2.730000,3.190000,3.190000,3269640
2017-04-01,3.217000,3.347000,3.022000,3.276000,3.276000,2833507
2017-05-01,3.249000,3.431000,3.061000,3.071000,3.071000,3307326
2017-06-01,3.080000,3.128000,2.855000,3.035000,3.035000,3263330
2017-07-01,2.949000,3.114000,2.781000,2.794000,2.794000,2903894
2017-08-01,2.810000,3.045000,2.753000,3.040000,3.040000,2907353
2017-09-01,3.027000,3.166000,2.885000,3.007000,3.007000,3414990
2017-10-01,3.018000,3.036000,2.723000,2.896000,2.896000,4135180
2017-11-01,2.906000,3.231000,2.797000,3.025000,3.025000,4074006
2017-12-01,3.032000,3.127000,2.568000,2.953000,2.953000,4382313
2018-01-01,3.030000,3.661000,2.746000,2.995000,2.995000,5591683
2018-02-01,2.956000,2.978000,2.530000,2.667000,2.667000,3242473
2018-03-01,2.668000,2.811000,2.565000,2.733000,2.733000,2686613
2018-04-01,2.730000,2.839000,2.621000,2.763000,2.763000,3064476
2018-05-01,2.764000,2.988000,2.695000,2.952000,2.952000,3070767
2018-06-01,2.951000,3.053000,2.873000,2.924000,2.924000,2830961
2018-07-01,2.920000,2.927000,2.704000,2.782000,2.782000,2355537
2018-08-01,2.780000,2.993000,2.740000,2.916000,2.916000,2820368
2018-09-01,2.862000,3.111000,2.752000,3.008000,3.008000,3017368
2018-10-01,3.007000,3.368000,3.001000,3.261000,3.261000,4123800
2018-11-01,3.284000,4.929000,3.166000,4.612000,4.612000,4724169
2018-12-01,4.527000,4.666000,2.930000,2.940000,2.940000,2894807
2019-01-01,2.921000,3.722000,2.789000,2.814000,2.814000,2854985
2019-02-01,2.832000,2.908000,2.543000,2.812000,2.812000,2369470
2019-03-01,2.805000,2.897000,2.656000,2.662000,2.662000,2078200
2019-04-01,2.663000,2.733000,2.439000,2.575000,2.575000,2445703
2019-05-01,2.572000,2.700000,2.444000,2.454000,2.454000,2643791
2019-06-01,2.444000,2.475000,2.159000,2.314000,2.314000,2838640
2019-07-01,2.330000,2.489000,2.107000,2.233000,2.233000,3232651
2019-08-01,2.238000,2.333000,2.029000,2.285000,2.285000,3425546
2019-09-01,2.289000,2.710000,2.269000,2.322000,2.322000,1072741772
2019-10-01,2.325000,2.738000,2.187000,2.633000,2.633000,4408193
2019-11-01,2.637000,2.905000,2.270000,2.325000,2.325000,28987285
2019-12-01,2.315000,2.510000,0.000000,2.189000,2.189000,1119928957
2020-01-01,2.184000,2.255000,1.812000,1.841000,1.841000,1284270328
2020-02-01,1.852000,2.025000,1.642000,1.752000,1.752000,21720671
2020-03-01,1.690000,1.998000,1.519000,1.640000,1.640000,6821978
2020-04-01,1.643000,1.974000,1.521000,1.949000,1.949000,4447021
2020-05-01,1.936000,2.162000,1.595000,1.797000,1.797000,7007876
2020-06-01,1.830000,1.864000,1.432000,1.751000,1.751000,4711266
2020-07-01,1.754000,1.928000,1.605000,1.799000,1.799000,3755077
2020-08-01,1.859000,2.743000,1.852000,2.630000,2.630000,4852093
2020-09-01,2.628000,2.789000,1.795000,2.527000,2.527000,3275893
2020-10-01,2.550000,3.396000,2.373000,3.354000,3.354000,3222516
2020-11-01,3.374000,3.393000,3.002000,3.046000,3.046000,525756
