Date,Open,High,Low,Close,Adj Close,Volume
2019-11-01,2.374000,2.380000,2.315000,2.325000,2.325000,25097949
2019-12-01,2.315000,2.510000,0.000000,2.189000,2.189000,1119928957
2020-01-01,2.184000,2.255000,1.812000,1.841000,1.841000,1284270328
2020-02-01,1.852000,2.025000,1.642000,1.752000,1.752000,21720671
2020-03-01,1.690000,1.998000,1.519000,1.640000,1.640000,6821978
2020-04-01,1.643000,1.974000,1.521000,1.949000,1.949000,4447021
2020-05-01,1.936000,2.162000,1.595000,1.797000,1.797000,7007876
2020-06-01,1.830000,1.864000,1.432000,1.751000,1.751000,4711266
2020-07-01,1.754000,1.928000,1.605000,1.799000,1.799000,3755077
2020-08-01,1.859000,2.743000,1.852000,2.630000,2.630000,4852093
2020-09-01,2.628000,2.789000,1.795000,2.527000,2.527000,3275893
2020-10-01,2.550000,3.396000,2.373000,3.354000,3.354000,3222516
2020-11-01,3.374000,3.393000,3.002000,3.046000,3.046000,525756
2020-11-06,2.934000,2.954000,2.913000,2.930000,2.930000,7809
